Date,Atomic Number
2023-05-25,118
2023-05-26,117
2023-05-30,116
2023-05-31,115
2023-06-01,114
2023-06-02,113
2023-06-03,112
2023-06-05,111
2023-06-06,110
2023-06-09,109
2023-06-12,108
2023-06-13,107
2023-06-16,106

2023-06-22,105
2023-06-23,104
2023-06-26,103
2023-07-07,102
2023-07-09,101
2023-07-11,100
2023-07-12,99
2023-07-14,98
2023-07-15,97
2023-07-19,96
2023-07-20,95
2023-07-21,94
2023-07-22,93
